Tên công ty,Email
Viện Hàng không Vũ trụ Viettel (Viettel Aerospace),mypham221099@gmail.com
Vietel Software (Công ty TNHH MTV Đầu Tư Công Nghệ Viettel),nhannh17@viettel.com.vn
LOTTE FINANCE VIETNAM,recruitment.yangon@lotte.net;contact@careerviet.vn
Trung tâm Công nghệ Thông tin MobiFone – Chi nhánh Tổng Công ty Viễn Thông MobiFone,thu.dao@mobifone.vn
Cty CP Chứng khoán MB,tuyendung.mbs@mbs.com.vn
"Viện HKVT, Viettel",vtx.hr@viettel.com.vn
NTT Data,nga.nguyenthiquynh@nttdata.com
Hệ thống Giáo dục Lý Thái Tổ,thpt@lythaito.edu.vn
Techcom Securities,hr@tcbs.com.vn
MB Life,tuyendung@mbageas.life;hr.mbageaslifehn@gmail.com
GSM - Xanh SM,cskh@xanhsm.com;support@greensm.com
Viettel Cyber Security,tuyendung-anm@viettel.com.vn
Techcom Securities (TCBS),ngoctl@tcbs.com.vn;tuyendung@tcbs.com.vn
MBAMC (Quản lý nợ MB),ttnb@mbamc.com.vn
MB Life (MB Ageas Life),tuyendung@mblife.vn
PVcomBank,tuyendung@pvcombank.com.vn
Crossian,careers@crossian.com
Công ty cổ phần HBLab,dangxuanha@hblab.vn
ISOFH,hr@isofh.com;hr@ivi.group
MobiFone Solutions,hr@mobifonesolutions.vn
Pixelz,hr@pixelz.com
PowerGate Software,hr@powergatesoftware.com;contact@powergatesoftware.com
VNEXT SOFTWARE,hr@vnext.vn
Công Ty Cổ Phần Tập Đoàn Gỗ Minh Long,info@gominhlong.com;tuyendung@gmail.com
MK Group,info@mkgroupjobs.com
Trung tâm CNTT Tập đoàn Bảo Việt,recruit@curama.vn
Công ty Cổ phần AHT TECH,recruitment@arrowhitech.com
RightShip,recruitment@rightship.com
"Toshiba Software Development (Viet Nam) Co, Ltd",tranviet1.ha@toshiba.co.jp
Trung tâm công nghệ thông tin MobiFone,tuyendung.it@mobifone.vn
CO-WELL ASIA,tuyendung@co-well.vn
NGÂN HÀNG THƯƠNG MẠI TNHH MTV KỶ NGUYÊN THỊNH VƯỢNG (GPBANK),tuyendung@gpbank.com.vn;quannd@gpbank.com.vn;huedt3@gpbank.com.vn
CÔNG TY CỔ PHẦN PHẦN MỀM LUVINA,tuyendung@luvina.net
SHS | Chứng khoán Sài Gòn - Hà Nội,tuyendung@shs.com.vn
Thai Son Soft,tuyendung@thaison.vn
Bravo,tuyendunghn@bravo.com.vn
Savvycom,van.dang@savvycomsoftware.com
Công ty cổ phần Base Enterprise,careers@base.vn
Công ty TNHH Công nghệ Phần mềm Kaopiz,halt@kaopiz.com
Kaopiz Holdings,mainth@kaopiz.com
VSI (VietSoftware International),career@vsi-international.com;hr@vsi.com.vn
CÔNG TY CỔ PHẦN GIÁO DỤC VÀ THƯƠNG MẠI RIKI VIỆT NAM,daolx@riki.edu.vn
FPT Cloud,mypth3@fpt.com
Công ty Cổ phần Hệ thống công nghệ ETC,phamdieu.linh@etc.vn
Công ty cổ phần Appota,Toan48ca@gmail.com
CÔNG TY CP TƯ VẤN ĐẦU TƯ VÀ XÂY DỰNG GTVT,tuyendung@tricc.vn
FPT Smart Cloud,VietLH@fpt.com
Fabbi JSC,dungntnew@gmail.com
Công ty cổ phần công nghệ Teko Việt Nam,trang.pth@teko.vn
Cty CP Đầu tư công nghệ và TM Softdreams,tuyendung@softdreams.vn
Công ty Cổ phần Giải pháp Phần mềm Teko,tuyendung@teko.vn
URBOX,talent@urbox.vn
CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ VÀ XÂY DỰNG GIAO THÔNG VẬN TẢI,tuyendung@tricc.vn
CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,hr@vinmotion.net
1Office| Workway,hr@1office.vn
Công ty Cổ phần Tin học – Viễn thông Hàng không (AITS),20110027@st.vju.ac.vn
Optimizely,careers@optimizely.com
Scandinavian Software Park,careers@scandinaviansoftwarepark.com
Euroland Asia,contact.asia@euroland.com
Aladin Technology,hr.dukick@gmail.com
DTS Software Vietnam,hr@dtsvn.com
FLINTERS VIETNAM,hr@flinters.vn
VNB Global,huyen02ta@gmail.com
Extreme Việt Nam,lien.nt@extremevn.com.vn
NSC Software,nscsoftware@gmail.com
KALAPA,recruitment@kalapa.vn;info@kalapa.vn
Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),recruitment@vn.panasonic.com
eUp Group,talents@eupgroup.net
Công ty TNHH Usol Việt Nam,Tran.Thi.Hang@usol-v.com.vn
Outcubator,tthu@outcubator.com
Công Ty TNHH Đầu Tư Thương Mại Và Sản Xuất Chính Phát,tuyendung1@chinhphat.vn
Công ty cổ phần AMELA Việt Nam,tuyendung@amela.vn
NGS,tuyendung@ngs.com.vn
Công ty TNHH Septeni Technology,contact@septeni-technology.jp
GEM,hoangnk@gemvietnam.com
Công ty Cổ phần Quốc tế Đầu tư và Phát triển Công nghệ Thành Công (Sau đây gọi là BSS Group),hr@bssgroup.vn
Cty TNHH Koei Tecmo Software VN,nguyenthithuy@koeitecmo.vn
Rocket Game Studio,recruitment@rocketgamestudio.com
LG CNS Việt Nam,thuypham@lgchem.com
Bravestars Games,trangnl@bravestars.com
"LG CNS Viet Nam Co.,Ltd",trongdao@lgcns.com
CÔNG TY TNHH KOEI TECMO SOFTWARE VIỆT NAM,tuyendung@koeitecmo.vn
Công ty TNHH Phần mềm đầu tư WorldQuant Việt Nam,AnhVan.Nguyen@worldquant.com
Công ty Cổ phần Giải pháp Công nghệ thông tin Quốc tế (ITS),contact@interits.com
Công ty Cổ phần Công nghệ và Dịch vụ Xgame,dungnt@xgamevn.com
Công ty TNHH Công Nghệ ezCloud Toàn Cầu,duong.nguyen@ezcloud.vn
zen8labs,hiennvn@gmail.com
Fitech,hr@fitech.com.vn
Công ty cổ phần Tokyo Tech Lab Việt Nam,hr@tokyotechlab.com
Công ty cổ phần Adamo Software,Huong.le@adamosoft.com
Công ty TNHH DAC Data Science Việt Nam,huong.nguyen@dac-datatech.vn
911 GROUP (Năm Sao),info@911group.com.vn
Công ty TNHH 1C Việt Nam,ngant@1c.com.vn
Công ty TNHH Giáo dục Edmicro,nguyenngocque@gmail.com
Falcon Game Studio,nhinm@falcongames.com
Cty CP Dữ Liệu IDC Viet Nam,Nxcuong48@gmail.com
Foobla (Merchize),thuctt@foobla.com; hr@merchize.com
CÔNG TY CỔ PHẦN CMC OPENAI,tuyendung@cmc.com.vn
Công ty Cổ phần SONAT,tuyendung@sonat.vn
Công ty Cổ phần Sonat - Sonat Game,tuyendung@sonat.vn
VSI,career@vsi-international.com
MBAMC,ttnb@mbamc.com.vn; anhctk1@mbamc.com.vn
Công ty TNHH Thương mại và Giao nhận vận tải quốc tế Trang Huy,hr@tranghuy.com
FLYER,talents@flyer.us
Trung tâm Ứng cứu khẩn cấp không gian mạng Việt Nam,hr@vncert.vn
Softel Solutions,annguyen3@softel.vn;ngocvu@softel.vn
IEC Games,canhpc@ieccorp.vn
CÔNG TY TNHH TEENUP,careers@teenup.vn
OrgScale Recruitment,contact@orgscale.com
Công ty Cổ phần Giải pháp Công nghệ GO (Go Solutions),danhhoat@gmail.com
GrapeCity,gsvn.hr@grapeseed.com
Công ty Cổ phần Thanh toán số MobiFone,haultm@vsec.com.vn;contact@mobifone.vn
Bolt Tech,hr.vietnam@bolttech.io
CÔNG TY TNHH SOCOTEC VIỆT NAM,hr.vietnam@socotec.com;info.vietnam@socotec.com
LifeteX,hr.vn@webprovise.com
Altaa Vistaa,hr@altavista.com.my;alta@alta.com.vn
AWING,hr@awing.vn
Creative Force,hr@creativeforce.io
GemCommerce,hr@gemcommerce.io
Goline Corporation,hr@goline.vn;hr@golineglobal.vn
HM Games,hr@hmgames.com
ICEBEAR (Studio Game),hr@icebear.vn;tuyendung@icebear.vn
Neos Việt Nam,hr@neoscorp.vn
Công ty TNHH TM và Giao nhận vận tải quốc tế Trang Huy,hr@tranghuy.com;bichthuy@tranghuylogistics.com
Công ty cổ phần AdFlex Việt Nam,hungph@eway.vn
Công ty Cổ phần Kinh doanh Bất động sản Mayhomes,info@miraihousejpvn.com;hr@mayhomes.vn
NaviWorld,info@naviworld.com.vn
VNSOLUTION,info@vnsolution.com.vn;dungnk@vnsolution.com.vn
Công ty Cổ phần 19,info@x19.com.vn;hotro@joboko.com
Travala.com,jobs@travala.com
CÔNG TY CỔ PHẦN KHOA HỌC DỮ LIỆU,khanhnv3007@gmail.com
Công ty Cổ phần Tập đoàn Việt Ba,kimthu.vu@vietbamedia.com.vn
Công ty TNHH ENTETSU Việt Nam,linh_let@entetsu.co.jp
Mathpresso Việt Nam,linsey.chu@mathpresso.com
Công ty TNHH Dịch vụ Phần mềm Sao Khuê,lytt@saokhue.io
Eastgate Software,recruitment@eastgate-software.com
Vietnamobile,recruitment@vietnamobile.com.vn
Birdeye.so,support@birdeye.so;careers@birdeye.com
Công ty TNHH thương mại và XNK Winki Group,thamtth.hr@gmail.com;nguyenthaohappywork@gmail.com
Công ty Cổ phần Công nghệ và Giải pháp SIMAX,thonv76@gmail.com
Công ty cổ phần KYODAI,toannc@kyodai.vn
Trung tâm anh ngữ A&U,tuyendung@anu.vn
Opes Insurance,tuyendung@opes.com.vn
VNPT EPAY,tuyendung@vnptepay.com.vn
Công Ty Cổ Phần Công Nghệ Thông Minh SFIN,vananh@sfin.vn;letaidai@sfin.vn
VTC Online,vanphongvtconline@go.vn
Kyber Network,Vu.tran54@gmail.com
Công ty Cổ phần DV truyền thông & Du lịch Á Châu,admin@achautravel.com
Công ty Cổ phần JobOKO Toàn Cầu,Anhpt@xmedia.vn
CÔNG TY CỔ PHẦN CÔNG NGHỆ GIÁO DỤC AZOTA,aunh@azota.vn
CÔNG TY CỔ PHẦN DỊCH VỤ VÀ ĐẦU TƯ Y TẾ NEO,casper.pas@gmail.com
Công ty cổ phần GSC Việt Nam,chienlv@gmail.com
Công Ty Cổ Phần Giải Pháp Công Nghệ VOTC,chinh@votc.com.vn
Công ty CP BGLOBAL,contact@bglobalcorp.com
Công Ty Cổ Phần Giải Pháp CNTT Quốc Tế (www.interits.com),contact@interits.com
Công ty TNHH phần mềm Twendee,cris@twendeesoft.com
Tokyo Techies,duc.doba@tokyotechies.com
Công ty CP Công nghệ và Truyền thông Dagoras,duynh@dagoras.io
Asilla,hr@asilla.net
Công ty TNHH JITS Innovation Labs,linhnt1@jitsinnovationlabs.com
Công ty cổ phần truyền thông và dịch vụ NODO,Phuongnd@nodo.vn
FLYER.vn,talents@flyer.vn;talents@flyer.us
Công ty cổ phần đầu tư phát triển công nghệ GEC,taquanggiang@gmail.com
Công ty TNHH Kiaisoft Việt Nam,thang.vu@kiaisoft.com
Công ty cổ phần giải pháp First Trust Việt Nam,thinhnxtn@gmail.com
Công ty cổ phần truyền thông Luật Việt Nam,tritv@luatvietnam.vn
CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ TP,tu.vu@tp.com.vn
Dagoras,vutm@dagoras.io
GeNEE-V,katos@genee.jp
CÔNG TY CỔ PHẦN PHẦN MỀM PHÂN PHỐI VÀ BÁN LẺ BEEC,beecvn@gmail.com
CÔNG TY TNHH DỊCH VỤ GIÁ TRỊ GIA TĂNG GOLDENGATE,goldengatetuyendung@ggg.com.vn
VCS Viet Nam,tuyendung@vcsgroup.com.vn; tuyendung@vcsvietnam.vn
ICEBEAR,hr@icebear.vn
ITviec Recruitment Consulting,hr@itviec.com
TJ Tech,admin@tjtech.tech;mydo84999@gmail.com
"Abilive Vietnam Co., Ltd.",contact@abilive.com.vn
Công ty TNHH Lotus Animation,contact@lotusani.vn
VERP Technology Solutions JSC,contact@verp.vn
Công Ty Tnhh Hello Việt Nam,daisy.nguyen@hellovietnam.com
FPT Digital,fdx.contact@fpt.com;recruitment@fpt.com
HOTX Holding Group,hotxholdinggroup@gmail.com
NEMO Digital Technology,hr.nemo@voltransvn.com
Công ty Cổ phần Công nghệ NexGen VN,hr.vn@webprovise.com
CÔNG TY CỔ PHẦN ĐẦU TƯ AHV HOLDING,hr@ahvholding.com;hoaihr@ahvtech.com
Blue Technology,hr@bluegroup.vn;ni.nguyen@bluegroup.vn
"DIGITAL TECHNOLOGY SOLUTIONS., JSC",hr@dtsvn.com;tuyendung@dts.com.vn
Ewoosoft Vietnam,hr@ewoosoft.com.vn
GITS,hr@gits.group;contact@gits.group
IONAH,hr@ionah.com
Offspring Digital Viet Nam,hr@offspringdigital.com
SoftRoad Việt Nam,hr@softroad.com.vn
SOLIS LAB,hr@solislab.com
Công ty TNHH Công nghệ và Truyền thông Thiên Khôi,lienhe.mb@thienkhoi.com;jobs.thienkhoi@gmail.com
MEGAZONE,mpn@megazone.com
CÔNG TY TNHH NANYANG BIOLOGICS VIỆT NAM,nanyangbiologics@gmail.com;love@itviec.com
T2 SOFT COMPANY LIMITED,nhung@t2soft.vn
8Seneca,office@8seneca.com;HR@senecacenter.org
Romulus Digital,phuong.mai@romulus.digital;enquiries@romulus.digital
CÔNG TY CỔ PHẦN CÔNG NGHỆ UPP TOÀN CẦU,recruiting@uppglobal.com
Công ty TNHH Inception Technologies Global,thuytt@ictglobal.tech
CÔNG TY TNHH ROOSTERX GLOBAL,tomfruits.hr@gmail.com
AI&T,tuyendung@ai-t.vn;contact@ai-t.vn
Braly JSC,tuyendung@bralyvn.com
Leansoft,tuyendung@leansoft.io
Cong ty Tomochain,anh@tomochain.com
Công ty TNHH Công Nghệ Anh Quân,anhquankcn2412@gmail.com
Công ty TNHH Giải pháp Etron,bang@ucall.asia
FETEK Technology Company Limited,contact@fetek.vn;customer@fetek.vn
Hanoi K-Lab,contact@hanoiklab.org
INTOWELL,contact@intowell.com
Công ty Cổ phần Chuyển đổi số SME,contact@smedigital.vn
Công ty cổ phần công nghệ và thương mại Pal Việt Nam,dangkhoa115@gmail.com
Next Robotics Joint-stock Company,duchien.nguyen@nextrobotics.io
Công ty Cổ phần INMATECH,Duongltt132@gmail.com
Công ty TNHH Dịch vụ IT X,hieuhn@gmail.com
Switch Supply Pty Ltd,hr@switchsupply.com.au
Công ty Cổ phần Dịch vụ Chữ ký số Intrust,hungv@intrustdss.vn
Công ty cổ phần công nghệ Proton,huonglt@protontech.vn
Công ty CP Sức khoẻ & Cuộc sống AKIO,loannt.2be@gmail.com
Công ty CP Truyền Thông Văn Hóa Việt,long@vhv.vn
Công ty TNHH DLABS,longdt.business@gmail.com
Công ty TNHH Công nghệ Sli,longndb@slitigenz.io
CÔNG TY TNHH TÍCH HỢP HỆ THỐNG NHT,lynn@nhtsi.com.vn;trangntt@nhtsi.com.vn
Công ty cổ phần viễn thông và truyền thông Medialine,macrokenia@gmail.com
TRANQUIL MIND TECHNOLOGY JOINT STOCK COMPANY,minhtamkv@gmail.com
Công ty TNHH Tích hợp thông minh,mrcuongnv@gmail.com
"Công ty TNHH Vật tư nông nghiệp, Xây dựng Anh Thái",namhoang159@gmail.com
CTCP SÀN GIAO DỊCH TÀI SẢN MÃ HÓA VIỆT NAM THỊNH VƯỢNG (CAEX),ngagp@caex.com.vn
Công ty CP công nghệ giáo dục Thiên Hà Xanh,nguyentrihien@gmail.com
Motionscloud GmbH,pablo@motionscloud.com
Công ty Cổ phần Smartmove Vietnam,quang@smartmove.vn
Công ty cổ phần công nghệ DopikAI,quanganh.bui@dopikai.com
"SOFTFLEX LLC CO.,LTD",recruiter@softflex.co
Delectech,robocon20062007@gmail.com
CÔNG TY TNHH GIẢI PHÁP PHẦN MỀM SERVICES ENGINE,taminhtu@gmail.com
CÔNG TY CỔ PHẦN SUN.STUDIO,thanh@sun.studio
CTY TNHH XÚC TIẾN THƯƠNG MẠI VÀ CÔNG NGHỆ ÁNH DƯƠNG (IPROTECH),thiendv@gmail.com
Amnis Labs,Tnn225@gmail.com
SEEDOO JSC,tranhungemail@gmail.com
Công ty cổ phần ứng dụng công nghệ mới Orenji,trungnh102@gmail.com
Công ty cổ phần công nghệ Chân Không,Tu.nong2018@gmail.com
Công ty cổ phần Canary Software,tuong@canary-software.com
Công Ty Cổ Phần Công Nghệ Thông Tin SMAC Việt Nam,uocpcvn@gmail.com
Công ty cổ phần công nghệ Andromeda,vanhongkong2008@gmail.com
BCVV company limited,vanntq@gmail.com
CÔNG TY TNHH BORDER Z VIETNAM,vietvd88@gmail.com
Công ty cổ phần công nghệ PhysCode Việt,vmhieu@gmail.com
MSB,tuyendung@msb.com.vn
Mcredit - Công ty Tài chính TNHH MB Shinsei,tuyendung@mcredit.com.vn
National Citizen Bank | NCB,tuyendung@ncb-bank.vn
SHBFinance,an.nq2@shbfinance.com.vn;linh.pth1@shbfinance.com.vn
One Mount Group,careers@onemount.com
Trung tâm Ứng cứu khẩn cấp không gian mạng Việt Nam (VNCERT;CC),contact@vncert.vn
FPT IS,fiscareers@fpt.com;contact@fpt.com
Sun Group,hcns@sungroup.com.vn;contact@sunbright.vn
MB Bank,hr.contact@mbbank.com.vn;careers@mbbank.com.vn
Techcombank,hr.ta@techcombank.com.vn
VinSmart Future,hr@teamobi.vn;career@vingroup.net
LG Electronics Development Vietnam (LGEDV),recruitment-lgedv@lge.com
RIKKEISOFT,thaobp4@rikkeisoft.com
F88,tuyendung@f88.vn
Viettel Group,tuyendung@viettel.com.vn
Viettel Post (A Member of Viettel Group),tuyendung@viettel.com.vn
VNDIRECT,tuyendung@vndirect.com.vn;hr@vndirect.com.vn
VPBank,tuyendung@vpbank.com.vn
